SSC-A,F4/80:Fluorescein (FITC),CD11c-biot:Qdot 605,Gr-1:APC,IgD:APC-Cy5.5,CD11b:APC-Cy7,I-Ad:PE,CD5:PE-Cy5,CD19:PE-Cy5.5,IgM:PE-Cy7
0.673718,0.17139119,0.24609885,0.26475725,0.20247252,0.24151495,0.14327002,0.13970572,0.22416551,0.10594027
0.7180704,0.82629216,0.5730233,0.15360644,0.5225623,0.76904327,0.5341715,0.5212466,0.2841734,0.5255817
0.67925864,0.17157298,0.2557724,0.2436199,0.30724248,0.24886608,0.12925835,0.23046388,0.22670406,0.06784347
0.69572806,0.5258741,0.2304793,0.27583,0.21328086,0.43982977,0.23091006,0.13103463,0.21331811,0.22227909
0.56284034,0.15800528,0.12449828,0.19482547,0.29533124,0.22031961,0.5723396,0.4994308,0.69977975,0.6487241
0.5513711,0.14184822,0.25165242,0.2670706,0.58897316,0.15695988,0.39319658,0.09608549,0.58004206,0.702891
0.70481074,0.8132673,0.43310776,0.23888393,0.49825397,0.79761577,0.4078779,0.42086837,0.26461166,0.4649568
0.54324037,0.20068765,0.18140696,0.26190084,0.5920425,0.24363641,0.55940187,0.13145955,0.62923044,0.7407361
0.5982384,0.26649985,0.59046084,0.26729134,0.29979515,0.73138297,0.58981395,0.20156296,0.2513972,0.2831714
0.61060596,0.15974362,0.24964556,0.26552603,0.22493005,0.21495295,0.1592728,0.15399727,0.21020253,0.17582272
0.695461,0.7960344,0.5694585,0.15520263,0.466368,0.799965,0.54454625,0.5125035,0.38009995,0.59087896
0.5155595,0.11633964,0.16561759,0.24537182,0.1660589,0.27345228,0.45584127,0.23273721,0.6547732,0.25432315
0.49552798,0.108621046,0.22320957,-0.018345097,0.15283486,0.22840403,0.21427433,0.7269858,0.053089816,0.30610174
0.5090944,0.13388585,0.16321492,0.003318683,0.21933293,0.21319883,0.09610681,0.71766776,0.14670613,0.16262807
0.6667914,0.5152381,0.1630454,0.35873154,0.24805185,0.47285593,0.19101176,0.19939472,0.2173487,0.13748279
0.6257813,0.1439943,0.28014976,0.25516203,0.23788814,0.22794487,0.1312989,0.16252907,0.22664443,0.12259633
0.64021176,0.28769732,0.5556381,0.25284818,0.3357079,0.7651581,0.5857548,0.2390666,0.2247886,0.26800764
0.6980949,0.7723654,0.48199198,0.471299,0.47372344,0.883765,0.44072765,0.43548933,0.37370014,0.59858894
0.50139296,0.12769146,0.17209324,0.25463495,0.26420918,0.1100458,0.46814343,0.15317091,0.64074075,0.85275763
0.76246023,0.54823846,0.35056832,0.4531164,0.28521547,0.5616426,0.27898145,0.23807852,0.21667965,0.2500291
0.71327835,0.84802336,0.5043815,0.19199733,0.5980578,0.86116654,0.46537238,0.50247955,0.4201887,0.5859716
0.8247711,0.2790107,0.40844762,0.22937547,0.28204468,0.21059893,0.21290642,0.33650345,0.20094194,0.35887268
0.6873485,0.7930085,0.44964108,0.24644165,0.47128642,0.83064765,0.43176293,0.44284648,0.25748724,0.45906794
0.5731445,0.4595896,0.10174673,0.21331719,0.18790302,0.5434743,0.5533348,0.44348675,0.6901918,0.69114673
0.70732796,0.5458446,0.1834541,0.3324981,0.24204175,0.543109,0.23575085,0.18011132,0.21730062,0.096953705
0.5353072,0.17234024,0.16465537,0.21903445,0.23794751,0.18489026,0.38325474,0.44476527,0.644652,0.7122656
0.5322334,0.15626644,0.21401459,0.026719322,0.18920223,0.23151149,0.19205552,0.68086606,0.09323043,0.31716207
0.49398786,0.113135636,0.12786588,0.027392281,0.24128172,0.23969787,0.10555011,0.6835007,0.15019543,0.2950048
0.60875565,0.15612389,0.2316911,0.22148392,0.1940488,0.3511739,0.20584264,0.43822986,0.67187077,0.8756485
0.68825066,0.43573737,0.31458876,0.6098887,0.18290396,0.33917564,0.22386944,0.28081864,0.19644924,0.21010868
0.56951493,0.16826849,0.19646716,0.24953438,0.24233197,0.20927432,0.47505972,0.43927056,0.6684169,0.78634405
0.5358185,0.1742741,0.3763033,0.26409367,0.2111939,0.22515416,0.14023584,0.14482369,0.21255505,0.19875921
0.6085861,0.23924586,0.34152034,0.8301613,0.06910463,0.6780476,0.23480922,0.3003309,0.2421852,0.38031334
0.6360336,0.1714332,0.30444953,0.14958507,0.21630707,0.20046546,0.5321375,0.5440373,0.7378054,0.7343931
0.68386465,0.7834688,0.4266904,0.21686645,0.39752424,0.773141,0.40730566,0.42995363,0.2685735,0.43048307
0.67857635,0.7771797,0.4423664,0.16856205,0.4386896,0.83146065,0.44099513,0.4768039,0.21107112,0.42366546
0.6702003,0.5310719,0.26274097,0.34219515,0.23813002,0.57583797,0.2157784,0.15459311,0.22495142,0.12508209
0.53818953,0.13948417,0.18075986,0.226663,0.239197,0.17429797,0.5152597,0.43558878,0.6417109,0.6532698
0.489787,0.15310992,0.14374207,0.2553437,0.47360593,0.20401363,0.55206853,0.12715577,0.5420441,0.3233389
0.5418098,0.15338565,0.22001916,0.10803332,0.119253725,0.26111954,0.16794945,0.63418514,0.15475787,0.070931844
0.5357163,0.19799766,0.20543946,0.23365864,0.5802363,0.26174474,0.44462636,0.28263083,0.56393594,0.7390996
0.5437128,0.15433776,0.26906624,0.222577,0.5740962,0.23158418,0.49566245,0.2392323,0.5845931,0.7294383
0.5271843,0.14347307,0.21758214,0.19714524,0.23034358,0.20684117,0.10765337,0.5650725,0.22748016,0.17243834
0.53354675,0.116527766,0.15600492,0.16149126,0.16260473,0.21030281,0.17626876,0.6205517,0.13623665,0.20613202
0.52640206,0.14943524,0.22330178,0.27305537,0.21061459,0.2346806,0.1540136,0.10063539,0.23222005,0.12154593
0.7204838,0.7955008,0.49521104,0.21061921,0.48362735,0.8061829,0.46982503,0.47809532,0.27539167,0.47459656
0.76072294,0.20912617,0.35280037,0.24199356,0.238794,0.27927724,0.27750286,0.3248281,0.22456633,0.17375211
0.679786,0.8035573,0.50649893,0.12987281,0.52556175,0.803515,0.5232879,0.530416,0.30228525,0.5355042
0.67724305,0.7206774,0.47779965,0.15998644,0.44842255,0.7489881,0.46905464,0.4972115,0.26627445,0.45177373
0.68572664,0.78055185,0.5454821,0.18693879,0.51139665,0.811392,0.5128779,0.4970987,0.28224492,0.47923413
0.5149938,0.18398683,0.13056052,0.25450495,0.6038914,0.12906247,0.5055525,0.14192714,0.60639673,0.72349274
0.69145906,0.7973003,0.41760078,0.24453174,0.4062223,0.8374012,0.40984404,0.42675272,0.25340047,0.4831672
0.57724893,0.12207297,0.19196135,0.20985255,0.16091123,0.21323875,0.49212798,0.4786712,0.6617876,0.7337098
0.5389341,0.14683877,0.07736956,0.21354926,0.20268336,0.17372221,0.42104104,0.47201785,0.65493405,0.68702257
0.70383257,0.7544351,0.5006345,0.22041047,0.46358955,0.8481351,0.490541,0.5069643,0.2993269,0.54362875
0.576677,0.102827065,0.11777241,0.21071254,0.13427338,0.17973983,0.47288236,0.46908057,0.68339956,0.7005206
0.6488387,0.29170898,0.553494,0.25051442,0.3460878,0.7043888,0.5818562,0.21927951,0.24247198,0.37015978
0.5179094,0.17737022,0.19868585,0.24236725,0.5057849,0.2722417,0.471973,0.22835666,0.5940464,0.46976712
0.65780604,0.41949445,0.50440055,0.26017216,0.34357232,0.79623777,0.4608928,0.26001805,0.25616965,0.48937255
0.54772997,0.18035358,0.24169812,0.25172725,0.18146978,0.17993617,0.48761427,0.14534314,0.6278112,0.7069789
0.7314218,0.50241446,0.23596384,0.48682734,0.22266394,0.42208257,0.23240899,0.17833799,0.21958958,0.13183673
0.71947455,0.54270756,0.31122583,0.44027117,0.2016055,0.45639557,0.2582703,0.20511149,0.21773155,0.15406308
0.5956379,0.15573844,0.16331412,0.21988837,0.23453076,0.08518758,0.38313454,0.46470436,0.6690989,0.81416416
0.65770346,0.7265248,0.4546016,0.15978251,0.44916305,0.7018315,0.4655339,0.50078815,0.26646373,0.5175499
0.70600265,0.8172391,0.50004,0.23727496,0.43473196,0.8496129,0.4766824,0.45932156,0.24800315,0.4165019
0.50700283,0.112165175,0.15096101,0.05598956,0.14661229,0.19126032,0.15811259,0.6803958,0.1325544,0.17371243
0.61277103,0.22039218,0.50525564,0.28083748,0.25304532,0.7294276,0.5852161,0.16074839,0.23655114,0.38011572
0.7375595,0.5868488,0.27319443,0.31523526,0.21258599,0.5104161,0.25281242,0.16967161,0.24825895,0.15341856
0.672744,0.7976828,0.45207894,0.18370375,0.4512229,0.88122886,0.49820536,0.5333955,0.43276083,0.59147435
